구분,담당,Method,Path,요약,요청,성공 응답,기타 상태,정렬·제약,호환·경계
필수,A,GET,/alarms,저장·파생 알람 조회,"query: date_from,date_to는 선택 pair; area,equipment,chamber,parameter,source,include_derived 선택; 빈 문자열→unset은 equipment,chamber,parameter만",AlarmItem[],"422,503","occurred_at DESC; source ASC; alarm_id DESC","무파라미터 기본 TRACE138+SUMMARY51=189; include_derived=true면 192; source=R03이면 include_derived=false보다 우선해 3; identity=(source,alarm_id); canonical equipment_id,chamber_id,recipe_id,lot_id,wafer_id,parameter_id,recipe_step_no + deprecated 축약 alias"
필수,A,GET,/trace,wafer parameter Trace,"query: lot,wafer,chamber,parameter 필수",TracePoint[],"422,503","measured_at ASC; recipe_step_no ASC; seq_no ASC","빈 결과=[]; seq_no는 step1 0..2와 step2 3..5"
필수,A,GET,/parameters,parameter 5선 기준정보,없음,ParameterItem[],503,"area ASC; parameter_id ASC","8행; upper_only은 source metadata 근거; name·LSL·LCL·TARGET·UCL·USL은 deprecated alias"
필수,B,POST,/documents/search,RAG 문서 검색,"body: query 1..1000; model_code 선택; doc_type 선택; top_k 1..10 기본4",DocumentHit[],"422,503","score DESC; document_id ASC; chunk_id ASC","검증된 corrected RAG source만; model_code는 COMMON 포함; doc_type은 top_k 전 서버 필터; Tool search_documents(query, model_code=None, top_k=4) 시그니처 유지; 0건=[]; chunk_id=<document_id>:<chunk_schema_version>:<4자리 순번>, 최초 cs1; doc_id는 document_id alias; ① schema·loader·bge-m3 1024 + ③ RAG"
보안필수,B,GET,/relations/chambers/{chamber_id},Ontology 선택 chamber subgraph·context,"path: chamber_id 필수; query: label 선택; limit 1..1000 기본500; include_production_context 기본false",ChamberGraphResponse,"404,422,503","node label/business_id; edge type/from/to","chamber component만(Recipe/RecipeStep 제외); include_production_context=true면 Runtime DB lot_history 최신 1000건을 화면 read model Lot·Wafer node/edge로 추가하고 production_context.truncated으로 절단 여부를 알리며 Neo4j 적재·Agent routing은 변경하지 않음; relation_id=REL-SHA20; graph_revision=검증 marker actual fingerprint; 응답 count는 subset 배열 길이; 전체 44/85는 graph gate; Neo4j Browser·credentials 직접 노출 금지"
필수,C,GET,/agent/runs,Agent 실행 이력,"query: date_from,date_to 선택이며 함께 사용",AgentRunItem[],"422,503","created_at DESC; agent_run_id DESC","alarm_source+alarm_id; canonical chamber_id + deprecated chamber; action_id+approval_id link; deliveries[]는 public EMAIL|MES projection; Auto Tool alias는 n/s만; 예측 전 fault null은 분석 전 표시·분포 제외"
필수,C,POST,/agent/ask,근거 기반 Agent 질의,"body: question 1..1000; agent_run_id 선택",AgentAskResponse,"404,422,503",읽기 전용,"agent_run_id 지정 시 같은 Runtime DB의 저장된 종합 진단·citation 우선; 식별자 충돌 422; evidence type AGENT_RUN 추가; tools·evidence_items·limitations와 predicted_fault_code·confidence·recommended_action은 항상 존재(후 3개 required-nullable); Chat Tool alias는 name/result만; fault_code 없음; DOCUMENT document_id·chunk_id 필수/section required-nullable; GRAPH relation_id·graph_revision 필수; METROLOGY alarm_result 미노출; evidence·limit·doc_id는 deprecated alias; action·approval write 없음"
필수,C,GET,/approvals,승인 대기·결정 이력,없음,ApprovalItem[],503,"created_at DESC; approval_id DESC","EQP_HOLD만; PENDING|APPROVED|REJECTED; canonical lot_id,equipment_id,chamber_id + deprecated 축약 alias; run/action ID link와 canonical decided field"
필수,C,POST,/approvals/{approval_id}/decision,승인·반려,"body: decision=APPROVED|REJECTED; decided_by; decision_comment 선택 1..1000",ApprovalItem,"404,409,422,503","단일 상태 전이","canonical decided_by/at/comment; public APPROVED|REJECTED를 internal APPROVE|REJECT로 adapter; 승인 후 Kafka MES Mock"
필수,D,GET,/audit-logs,append-only 감사 이력,"query: date range,event,actor,entity 선택",AuditLogItem[],"422,503","occurred_at DESC; audit_id DESC","Common 계약; 도메인 기록; D 조회; at·actor·event·entity는 deprecated alias; write API 없음"
